Experiment ID,Who ran it?,When was it run?,What was run?
1,Joao Malva,2025-05-16 16:53,EfficientNet Testing - No Grid Execution
2,Joao Malva,2025-05-16 17:00,SVM W/ LBP Testing - Testing LBP Extractor
3,Joao Malva,2025-05-16 18:21,EfficientNet - Grid Hyperparameter Combination
4,Joao Malva,2025-05-17 19:58,EfficientNet + LBP - Test
5,Joao Malva,2025-05-20 00:43,EffNet + SVM(LBP) - Decision Fusion - Grid Hyperparameter Search
6,Joao Malva,2025-05-20 09:21,EffNet + FC(LBP) - Feature Fusion - Grid Hyperparameter Search
7,Joao Malva,2025-05-20 12:28,Standalone EffNet b1 architecture - Grid Hyperparameter Combination
8,Joao Malva,2025-05-20 12:10,Standalone EffNet b2 architecture - Grid Hyperparameter Combination
9,Joao Malva,2025-05-21 10:37,"Standalone ResNet 18, 50, 101 architecture - Grid Hyperparameter Combination"
10,Joao Malva,2025-05-27 19:41,Linear SVM - Feature Extrator Manager - Grid Hyperparameter Combination
11,Joao Malva,2025-05-30 03:58,ResNet 18 - Layer Feature Fusion w/ 3 Fixed Extractors concatenaded and feed it in the same layer 
12,Joao Malva,2025-05-29 14:04,Testing Fusion w/ ResNet
13,Joao Malva,2025-05-31 20:24,"EffNet w/out extractors - b0, b1, b2 - Grid Hyperparameter Combination"
